array size,selection sort operations,merge sort operations
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
2,13,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,14,65
2,13,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,14,65
2,14,65
2,13,65
2,14,65
2,14,65
2,13,65
2,13,65
2,13,65
2,13,65
